#species: Scientific name.
#average_mira: Average abundance relative to the major isoform by 5% bins.
#framepreserving_proportion: Proportion of frame-preserving spliced variants.
#XerrorBar: Standard deviation on x axis.
#intervalle: Intervalle of the abundance relative to the major isoform.
#Freq: Number of spliced variants by bins.
species	average_mira	framepreserving_proportion	XerrorBar	intervalle	Freq
Sus_scrofa	0.00225275067249485	0.338738738738739	0.0000048469300477957	(0.00198,0.00254]	1110
Sus_scrofa	0.00287172574362627	0.367992766726944	0.00000596857975677705	(0.00254,0.00326]	1106
Sus_scrofa	0.00367643209585044	0.330922242314647	0.00000763954266412081	(0.00326,0.00413]	1106
Sus_scrofa	0.00467043270796899	0.347197106690778	0.00000960854043825834	(0.00413,0.00526]	1106
Sus_scrofa	0.00602693984220322	0.344144144144144	0.0000135336590357625	(0.00526,0.00683]	1110
Sus_scrofa	0.00791412570557462	0.344827586206897	0.0000202449189437263	(0.00683,0.00915]	1102
Sus_scrofa	0.0108236568242793	0.324593128390597	0.000031691773522438	(0.00915,0.0127]	1106
Sus_scrofa	0.0155183718653743	0.345878136200717	0.000054410423368106	(0.0127,0.0189]	1116
Sus_scrofa	0.0240834296079099	0.355515041020966	0.000101969733469061	(0.0189,0.0309]	1097
Sus_scrofa	0.0425924873155496	0.42457091237579	0.000236449468348595	(0.0309,0.0579]	1107
Sus_scrofa	0.0901599618821286	0.560975609756098	0.000714251618550597	(0.0579,0.142]	1107
Sus_scrofa	0.277096260987439	0.800361336946703	0.00312294677489021	(0.142,0.499]	1107
Macaca_mulatta	0.00002664825669973	0.388943731490622	0.00000024969811273415	[1.65e-07,4.95e-05]	3039
Macaca_mulatta	0.0000698681006808888	0.384995064165844	0.00000021564899543503	(4.95e-05,9.05e-05]	3039
Macaca_mulatta	0.000111617798700974	0.355051003619612	0.000000221690584283084	(9.05e-05,0.000133]	3039
Macaca_mulatta	0.000155603570028958	0.35899967094439	0.00000025094699500731	(0.000133,0.000181]	3039
Macaca_mulatta	0.00020668322636588	0.365251727541955	0.000000282142286907208	(0.000181,0.000235]	3039
Macaca_mulatta	0.0002670083898681	0.345622119815668	0.000000339881849991756	(0.000235,0.0003]	3038
Macaca_mulatta	0.000336952366277813	0.34814083580125	0.00000039822731303915	(0.0003,0.000376]	3039
Macaca_mulatta	0.000419512481074828	0.345065789473684	0.000000477202792261507	(0.000376,0.000466]	3040
Macaca_mulatta	0.000525531706051521	0.347368421052632	0.000000641730506884209	(0.000466,0.000589]	3040
Macaca_mulatta	0.000662244440506273	0.338486842105263	0.000000808801108408888	(0.000589,0.000741]	3040
Macaca_mulatta	0.000839425297147791	0.336076366030283	0.0000010610089583156	(0.000741,0.000944]	3038
Macaca_mulatta	0.00107466436159145	0.332345191040843	0.00000145246248768158	(0.000944,0.00122]	3036
Macaca_mulatta	0.00140421035085818	0.335855263157895	0.00000203038327531668	(0.00122,0.00161]	3040
Macaca_mulatta	0.00187031747405002	0.311389071757735	0.00000299430791381211	(0.00161,0.00218]	3038
Macaca_mulatta	0.00259478322050869	0.327302631578947	0.00000469089322416132	(0.00218,0.00307]	3040
Macaca_mulatta	0.00377551693587002	0.325979585116892	0.00000823207625111301	(0.00307,0.00464]	3037
Macaca_mulatta	0.00593962189073147	0.311739559355475	0.0000153873040716292	(0.00464,0.00763]	3041
Macaca_mulatta	0.010935855357576	0.334211392821864	0.0000409267676678266	(0.00763,0.0157]	3037
Macaca_mulatta	0.0278432005073241	0.373807173412307	0.000176917753831741	(0.0157,0.05]	3039
Macaca_mulatta	0.174933175806335	0.651201052977953	0.00220014785251261	(0.05,0.498]	3039
Homo_sapiens	0.0000163847830440091	0.373312152501986	0.000000140101856210046	[1.21e-07,3.05e-05]	3777
Homo_sapiens	0.0000433391790616569	0.358485570558644	0.000000119449024764178	(3.05e-05,5.58e-05]	3777
Homo_sapiens	0.0000690168191331491	0.369173728813559	0.000000128637940838203	(5.58e-05,8.29e-05]	3776
Homo_sapiens	0.00009773544553356	0.34842467566852	0.000000141360707813621	(8.29e-05,0.000113]	3777
Homo_sapiens	0.000129355438995294	0.342599947047922	0.000000163201684227477	(0.000113,0.000147]	3777
Homo_sapiens	0.000167410927214967	0.349046610169492	0.000000197814543458785	(0.000147,0.000189]	3776
Homo_sapiens	0.000212044241529912	0.355214399152991	0.000000225765767567901	(0.000189,0.000237]	3778
Homo_sapiens	0.000267818191923851	0.344544491525424	0.000000302935575160317	(0.000237,0.000301]	3776
Homo_sapiens	0.000338606504089544	0.338983050847458	0.000000377719192784178	(0.000301,0.00038]	3776
Homo_sapiens	0.000427745695980204	0.338359788359788	0.000000478300400352335	(0.00038,0.000481]	3780
Homo_sapiens	0.000543807829209185	0.339162692103869	0.000000633926735835063	(0.000481,0.000616]	3774
Homo_sapiens	0.00070310090458557	0.325125761186127	0.000000867098496030145	(0.000616,0.000803]	3777
Homo_sapiens	0.000927858935871159	0.340307203389831	0.00000125656523758786	(0.000803,0.00107]	3776
Homo_sapiens	0.00125677078675145	0.330420969023034	0.00000192031546547232	(0.00107,0.00148]	3777
Homo_sapiens	0.00178491288088427	0.329978813559322	0.00000307159462868543	(0.00148,0.00214]	3776
Homo_sapiens	0.00267271166946097	0.328745367919534	0.0000055595014314971	(0.00214,0.00334]	3778
Homo_sapiens	0.00435715015308648	0.319120762711864	0.000010893084431061	(0.00334,0.00568]	3776
Homo_sapiens	0.00811356984820093	0.328129134691717	0.0000273904586462774	(0.00568,0.0116]	3779
Homo_sapiens	0.0215650035853757	0.344992050874404	0.000129186687822715	(0.0116,0.0405]	3774
Homo_sapiens	0.154944932918668	0.586709028329362	0.00194827158511515	(0.0405,0.499]	3777
Oryctolagus_cuniculus	0.0000131755563276769	0.390347387960753	0.000000102868813855035	[1.84e-07,2.32e-05]	3771
Oryctolagus_cuniculus	0.0000321522564984323	0.383983028374436	0.0000000822854257892059	(2.32e-05,4.07e-05]	3771
Oryctolagus_cuniculus	0.0000497431114300205	0.37814903208698	0.0000000833476725401538	(4.07e-05,5.86e-05]	3771
Oryctolagus_cuniculus	0.0000678326793499095	0.380598992843891	0.0000000901833348919265	(5.86e-05,7.8e-05]	3773
Oryctolagus_cuniculus	0.0000888379242046359	0.362430352878748	0.000000103392053742716	(7.8e-05,0.0001]	3769
Oryctolagus_cuniculus	0.000113139160890464	0.350742311770944	0.000000122322685676442	(0.0001,0.000126]	3772
Oryctolagus_cuniculus	0.000142077006972539	0.369063412045635	0.000000152940487827401	(0.000126,0.000159]	3769
Oryctolagus_cuniculus	0.000178331177584825	0.369034994697773	0.000000193455124756052	(0.000159,0.0002]	3772
Oryctolagus_cuniculus	0.000224866221393707	0.35773004508088	0.000000238283550074062	(0.0002,0.000252]	3771
Oryctolagus_cuniculus	0.000285266710768365	0.358620689655172	0.000000321285355496928	(0.000252,0.00032]	3770
Oryctolagus_cuniculus	0.000363652555353419	0.357029177718833	0.000000445499310158166	(0.00032,0.000414]	3770
Oryctolagus_cuniculus	0.00047519221079422	0.350304958896844	0.000000602716603615715	(0.000414,0.000544]	3771
Oryctolagus_cuniculus	0.00063075777011566	0.351086380498145	0.000000856031296867788	(0.000544,0.000728]	3774
Oryctolagus_cuniculus	0.000859523578187554	0.351380042462845	0.00000132347788428087	(0.000728,0.00101]	3768
Oryctolagus_cuniculus	0.00121718811591309	0.351100503845134	0.00000208858100645664	(0.00101,0.00146]	3771
Oryctolagus_cuniculus	0.00181552623496096	0.340053050397878	0.00000372155386336176	(0.00146,0.00226]	3770
Oryctolagus_cuniculus	0.00292502936523787	0.335985149827632	0.00000706984223939197	(0.00226,0.00379]	3771
Oryctolagus_cuniculus	0.00537604994125053	0.316626889419252	0.0000180948773849211	(0.00379,0.00767]	3771
Oryctolagus_cuniculus	0.0136062315010214	0.343675417661098	0.0000751305274107199	(0.00767,0.0245]	3771
Oryctolagus_cuniculus	0.127315195713786	0.556881463802705	0.00196536862432726	(0.0245,0.5]	3771
Heterocephalus_glaber	0.0000421472754386461	0.376768867924528	0.000000601307291013208	[3.74e-07,8.56e-05]	1696
Heterocephalus_glaber	0.000132347679729673	0.408018867924528	0.00000068186002741107	(8.56e-05,0.000182]	1696
Heterocephalus_glaber	0.000235216993550365	0.3886925795053	0.000000735753622396406	(0.000182,0.00029]	1698
Heterocephalus_glaber	0.000346455639002064	0.390791027154664	0.000000793880200409855	(0.00029,0.000404]	1694
Heterocephalus_glaber	0.000469675587658501	0.383844339622642	0.000000906646972023175	(0.000404,0.000535]	1696
Heterocephalus_glaber	0.000607179885769705	0.389510901591043	0.00000107682207936339	(0.000535,0.000684]	1697
Heterocephalus_glaber	0.000774313828564186	0.399055489964581	0.00000127912042312166	(0.000684,0.00087]	1694
Heterocephalus_glaber	0.000983019757314338	0.349646226415094	0.00000169181633305869	(0.00087,0.00111]	1696
Heterocephalus_glaber	0.00123824784776467	0.379127358490566	0.00000193710558521431	(0.00111,0.00138]	1696
Heterocephalus_glaber	0.00155782399275423	0.349440188568061	0.00000253198390641641	(0.00138,0.00175]	1697
Heterocephalus_glaber	0.00199049668622773	0.367707719505009	0.00000341383260909736	(0.00175,0.00224]	1697
Heterocephalus_glaber	0.00253898681168767	0.374779021803182	0.00000455867104788255	(0.00224,0.00288]	1697
Heterocephalus_glaber	0.00330977020239141	0.385705847607797	0.0000063601239465917	(0.00288,0.00378]	1693
Heterocephalus_glaber	0.0044220836663135	0.375811209439528	0.00000954404137945329	(0.00378,0.00515]	1695
Heterocephalus_glaber	0.00614049781865741	0.371764705882353	0.0000149598511846335	(0.00515,0.0073]	1700
Heterocephalus_glaber	0.00901473440131749	0.373301831069108	0.0000255847755640968	(0.0073,0.011]	1693
Heterocephalus_glaber	0.0142764591704823	0.373380447585395	0.0000503456068350134	(0.011,0.0182]	1698
